import time: self [us] | cumulative | imported package
import time:       334 |        334 |   _io
import time:        19 |         19 |   marshal
import time:       667 |        667 |   posix
import time:      1109 |       2128 | _frozen_importlib_external
import time:       436 |        436 |   time
import time:       214 |        650 | zipimport
import time:        63 |         63 |     _codecs
import time:       492 |        554 |   codecs
import time:      1001 |       1001 |   encodings.aliases
import time:      2035 |       3589 | encodings
import time:       332 |        332 | encodings.utf_8
import time:        56 |         56 | _signal
import time:        30 |         30 |       _abc
import time:       105 |        135 |     abc
import time:        23 |         23 |       _stat
import time:        58 |         80 |     stat
import time:       820 |        820 |     _collections_abc
import time:        43 |         43 |       errno
import time:       114 |        114 |       genericpath
import time:       103 |        260 |     posixpath
import time:       419 |       1713 |   os
import time:        55 |         55 |   _sitebuiltins
import time:       480 |        480 |   sitecustomize
import time:       954 |       3201 | site
import time:       680 |        680 | linecache
import time:       336 |        336 |     __future__
import time:       132 |        132 |       io
import time:        19 |         19 |             _types
import time:       505 |        524 |           types
import time:      1037 |       1560 |         enum
import time:       188 |        188 |           _sre
import time:       386 |        386 |             re._constants
import time:       473 |        858 |           re._parser
import time:       233 |        233 |           re._casefix
import time:       517 |       1795 |         re._compiler
import time:       233 |        233 |             itertools
import time:       307 |        307 |             keyword
import time:       168 |        168 |               _operator
import time:       372 |        540 |             operator
import time:       238 |        238 |             reprlib
import time:        30 |         30 |             _collections
import time:       808 |       2155 |           collections
import time:        42 |         42 |           _functools
import time:      1019 |       3214 |         functools
import time:       460 |        460 |         copyreg
import time:       949 |       7976 |       re
import time:      1031 |       1031 |         textwrap
import time:        20 |         20 |             _contextvars
import time:       696 |        715 |           _py_warnings
import time:       317 |       1032 |         warnings
import time:       333 |        333 |         codeop
import time:       233 |        233 |           token
import time:       203 |        203 |           _tokenize
import time:      1056 |       1491 |         tokenize
import time:       295 |        295 |                 _weakrefset
import time:       501 |        796 |               weakref
import time:       238 |       1033 |             copy
import time:       995 |        995 |                   _ast
import time:       936 |       1931 |                 ast
import time:       822 |       2752 |               annotationlib
import time:        20 |         20 |                   _opcode
import time:       270 |        270 |                   _opcode_metadata
import time:       316 |        605 |                 opcode
import time:       867 |       1472 |               dis
import time:       292 |        292 |                 importlib
import time:        56 |        348 |               importlib.machinery
import time:      1482 |       6052 |             inspect
import time:       574 |       7659 |           dataclasses
import time:      3890 |      11548 |         _colorize
import time:       621 |        621 |         contextlib
import time:       901 |      16954 |       traceback
import time:        27 |         27 |         _string
import time:       438 |        464 |       string
import time:       857 |        857 |       threading
import time:        23 |         23 |       atexit
import time:      1221 |      27623 |     logging
import time:        34 |         34 |       _datetime
import time:       272 |        306 |     datetime
import time:        68 |         68 |         _winapi
import time:        47 |         47 |         nt
import time:        40 |         40 |         nt
import time:        39 |         39 |         nt
import time:        38 |         38 |         nt
import time:        37 |         37 |         nt
